word1,word2,word3,true_word,section,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,freq_subset,rcond,measure,overall_accuracy
lima,peru,lisbon,portugal,capital-world,exponential,mindless,globalization,unbridled,unfettered,regressive,Euro,dynamism,enlightenment,id,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,london,england,capital-world,London,id,.....,etc,Londoners,......,Islington,Milton_Keynes,im,dont,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,madrid,spain,capital-world,Real_Madrid,Barca,Atletico,Atletico_Madrid,Cristiano_Ronaldo,Ronaldinho,Man_Utd,Benfica,Messi,Ronaldo,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,manila,philippines,capital-world,envelopes,Manila,folders,luggage,bags,cardboard,innumerable,unending,scribbled,suitcase,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,moscow,russia,capital-world,id,Moscow,USSR,Estonia,Youtube,sic,Budapest,Prague,Belarus,Russia,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,muscat,oman,capital-world,wines,Chardonnay,wine,grape,grapes,Wines,winemakers,Vineyards,winery,Winery,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,nairobi,kenya,capital-world,exponential,violence,unfettered,whilst,mindless,chaos,wealth,fans,sanity,traveling,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,nassau,bahamas,capital-world,exponential,wealth,chaos,mindless,self_destructive,mightily,unfettered,profits,revenues,hotel_rooms,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,ottawa,canada,capital-world,Ottawa,Québec,Quebec,org,>>,GTA,sic,id,Vancouver,Sudbury,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,paris,france,capital-world,Paris,Full_Story,etc,ur,sic,im,id,dont,u,i,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,rome,italy,capital-world,id,sic,Rome,ie,cant,.....,......,pc,dont,****,10000,0.001,naive_cosine,0.16666666666666666
lima,peru,stockholm,sweden,capital-world,id,civilization,wealth,ie,enlightenment,socialists,masses,social,democrats,dependency,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,london,england,capital-world,lol,dont,im,thats,......,.....,i,u,cant,ur,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,madrid,spain,capital-world,Real_Madrid,Barca,dont,Atletico,thats,Man_Utd,cant,Atletico_Madrid,Benfica,Rafa,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,manila,philippines,capital-world,sa,Cebu,eh,cardboard,na,ng,da,dont,lol,Davao,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,moscow,russia,capital-world,lol,im,dont,thats,cant,u,ur,.....,......,:),10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,muscat,oman,capital-world,Chardonnay,wines,grape,grapes,wine,olives,reds,cheeses,Bordeaux,olive_oil,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,nairobi,kenya,capital-world,dont,cant,thats,u,wont,im,.....,lol,da,ur,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,nassau,bahamas,capital-world,lol,cant,thats,dont,u,alot,im,wont,ok,.....,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,ottawa,canada,capital-world,dont,.....,thats,wont,cant,lol,im,......,anyways,eh,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,paris,france,capital-world,im,dont,ur,lol,u,da,thats,cant,i,ll,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,rome,italy,capital-world,dont,cant,......,im,thats,.....,lol,wont,u,da,10000,0.001,naive_cosine,0.16666666666666666
lisbon,portugal,stockholm,sweden,capital-world,dont,cant,.....,thats,i,......,lol,im,ur,u,10000,0.001,naive_cosine,0.16666666666666666
london,england,madrid,spain,capital-world,Real_Madrid,Barca,La_Liga,Ronaldo,Benfica,Messi,Atletico_Madrid,Man_Utd,Ibrahimovic,Rafa,10000,0.001,naive_cosine,0.16666666666666666
london,england,manila,philippines,capital-world,cardboard,Paraguay,envelopes,pencil,Philippines,drawer,brown,inch_thick,pencils,Uruguay,10000,0.001,naive_cosine,0.16666666666666666
london,england,moscow,russia,capital-world,Paraguay,Portugal,Slovenia,Argentina,Uruguay,Finland,im,thats,Sweden,England,10000,0.001,naive_cosine,0.16666666666666666
london,england,muscat,oman,capital-world,grape,grapes,Chardonnay,wines,berry,caramel,cheeses,wine,creamy,peaches,10000,0.001,naive_cosine,0.16666666666666666
london,england,nairobi,kenya,capital-world,Paraguay,Uruguay,Bafana,Dunga,England,Bafana_Bafana,Azzurri,Fabio_Capello,Portugal,Slovenia,10000,0.001,naive_cosine,0.16666666666666666
london,england,nassau,bahamas,capital-world,Paraguay,Azzurri,Uruguay,Windies,dayers,Boks,Dunga,Black_Caps,All_Blacks,Argentina,10000,0.001,naive_cosine,0.16666666666666666
london,england,ottawa,canada,capital-world,Paraguay,i,thats,Slovenia,Azzurri,Uruguay,dont,Canada,WC,wont,10000,0.001,naive_cosine,0.16666666666666666
london,england,paris,france,capital-world,im,ur,i,France,dont,thats,u,cant,le,Portugal,10000,0.001,naive_cosine,0.16666666666666666
london,england,rome,italy,capital-world,thats,im,cant,dont,ur,i,wont,Paraguay,u,¬,10000,0.001,naive_cosine,0.16666666666666666
london,england,stockholm,sweden,capital-world,Paraguay,Uruguay,England,i,Portugal,Fabio_Capello,Denmark,Wayne_Rooney,Dunga,Azzurri,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,manila,philippines,capital-world,Cebu,Philippines,Manila,Metro_Manila,Iloilo,Davao,sheets,Philippine,envelopes,Baguio,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,moscow,russia,capital-world,Russia,Hungary,Finland,Estonia,Sweden,Latvia,Budapest,Ukraine,Norway,Scandinavia,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,muscat,oman,capital-world,Chardonnay,wine,wines,grape,lavender,olive_oil,Wines,olives,grapes,cheeses,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,nairobi,kenya,capital-world,United_Kingdom,Barbados,Mauritius,UK,Guernsey,Great_Britain,Fiji,Tahiti,Morocco,Norway,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,nassau,bahamas,capital-world,Nassau,mainland,Marino,Cornwall,Black_Swan,lite,Cape_Cod,Tseng,faux,eg,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,ottawa,canada,capital-world,Canada,Québec,org,Quebec,PEI,>>,com,BC,Ontario,NB,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,paris,france,capital-world,Paris,le,d',Full_Story,France,des,im,etc,en,ll,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,rome,italy,capital-world,le,di,¬,......,w,Tuscany,Italy,eg,en,del,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,stockholm,sweden,capital-world,eg,Scandinavia,United_Kingdom,Norway,h,Great_Britain,le,Scandinavian,Belgium,bath,10000,0.001,naive_cosine,0.16666666666666666
madrid,spain,tehran,iran,capital-world,United_Kingdom,Azerbaijan,Great_Britain,Russia,Turkey,Hungary,Norway,Bahrain,Britain,Ukraine,10000,0.001,naive_cosine,0.16666666666666666
manila,philippines,moscow,russia,capital-world,im,......,thats,i,tv,.....,lol,:),dont,windows,10000,0.001,naive_cosine,0.16666666666666666
