word1,word2,word3,true_word,section,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,freq_subset,rcond,measure,overall_accuracy
reno,nevada,scottsdale,arizona,city-in-state,domains,id,g,NO,UC_Irvine,UC_Santa_Barbara,thru,NM,STOP,California,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,irving,texas,city-in-state,id,thats,.....,thru,i,dont,domains,g,h,NO,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,fremont,california,city-in-state,domains,California,id,thru,NO,STOP,Oregon,.....,g,NM,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,irvine,california,city-in-state,domains,thru,g,.......,id,.....,NO,........,h,thats,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,tacoma,washington,city-in-state,id,thats,dont,NO,.....,domains,cant,thru,g,Oregon,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,amarillo,texas,city-in-state,id,el,g,del,BE_LIABLE_TO_YOU,Monterrey,domains,NM,cone,active_ingredient,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,tallahassee,florida,city-in-state,Virginia,Delaware,NO,id,North_Carolina,g,domains,thru,STOP,California,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,worcester,massachusetts,city-in-state,g,id,thru,STOP,domains,h,NO,.....,thats,dont,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,chicago,illinois,city-in-state,thats,dont,.....,im,lol,cant,i,NO,ANY,id,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,houston,texas,city-in-state,thats,.....,i,dont,lol,thru,id,cant,......,im,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,philadelphia,pennsylvania,city-in-state,.....,NO,thru,dont,i,thats,g,Delaware,ANY,im,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,phoenix,arizona,city-in-state,ashes,god,dragon,emblem,symbolizing,heavens,winged,id,demon,symbol,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,dallas,texas,city-in-state,thats,lol,dont,.....,thru,cant,id,im,i,g,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,jacksonville,florida,city-in-state,NO,.....,thru,thats,id,g,dont,.......,#_#,........,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,indianapolis,indiana,city-in-state,Indiana,North_Carolina,Virginia,thru,NO,Delaware,Ind.,KY,Oregon,Kentucky,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,austin,texas,city-in-state,dont,thats,id,i,lol,.....,im,cant,ANY,thru,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,detroit,michigan,city-in-state,thats,dont,.....,i,BTW,lol,id,.......,cant,ANY,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,memphis,tennessee,city-in-state,thats,.....,dont,lol,cant,id,i,im,BTW,.......,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,boston,massachusetts,city-in-state,.....,thats,dont,lol,i,thru,.......,im,BTW,cant,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,seattle,washington,city-in-state,thats,im,dont,.....,i,lol,cant,......,id,.......,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,denver,colorado,city-in-state,thats,dont,lol,.....,cant,i,ANY,id,BTW,im,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,baltimore,maryland,city-in-state,thats,.....,dont,im,id,i,thru,lol,cant,BTW,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,nashville,tennessee,city-in-state,thats,thru,.....,dont,h,cant,g,.......,i,cam,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,louisville,kentucky,city-in-state,.....,thats,dont,.......,id,NO,ANY,........,thru,lol,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,milwaukee,wisconsin,city-in-state,dont,.....,thats,lol,cant,.......,........,i,BTW,NO,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,portland,oregon,city-in-state,thats,dont,.....,id,lol,.......,cant,thru,i,NO,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,tucson,arizona,city-in-state,thats,.....,dont,thru,cant,id,NO,lol,.......,im,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,fresno,california,city-in-state,g,thats,id,.....,dont,lol,Oregon,troll,California,BTW,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,sacramento,california,city-in-state,California,id,thats,g,NO,thru,dont,.....,i,Ca,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,mesa,arizona,city-in-state,canyon,valley,canyons,Pueblo,NM,ridge,Socorro,Las_Cruces,ridges,Rio_Grande,10000,0.001,naive_cosine,0.017985611510791366
reno,nevada,atlanta,georgia,city-in-state,thats,.....,dont,id,lol,im,cant,NO,i,ANY,10000,0.001,naive_cosine,0.017985611510791366
scottsdale,arizona,irving,texas,city-in-state,im,thats,i,lol,dont,.....,......,Full_Story,cant,sic,10000,0.001,naive_cosine,0.017985611510791366
scottsdale,arizona,fremont,california,city-in-state,im,thats,......,dont,i,.....,Arizona,lol,cant,Full_Story,10000,0.001,naive_cosine,0.017985611510791366
scottsdale,arizona,irvine,california,city-in-state,im,......,thats,dont,.....,i,lol,Arizona,cant,.......,10000,0.001,naive_cosine,0.017985611510791366
scottsdale,arizona,tacoma,washington,city-in-state,thats,im,dont,lol,......,cant,.....,i,Full_Story,Arizona,10000,0.001,naive_cosine,0.017985611510791366
scottsdale,arizona,amarillo,texas,city-in-state,im,lol,thats,dont,i,......,Arizona,ya,Full_Story,cant,10000,0.001,naive_cosine,0.017985611510791366
